,Total_Stops,Price,Duration_total,Dep_hour,weekday_name_Monday,weekday_name_Saturday,weekday_name_Sunday,weekday_name_Thursday,weekday_name_Tuesday,weekday_name_Wednesday,Add_col_1,Add_col_2,Add_col_3,Air_col_1,Air_col_2,Air_col_3,Air_col_4,Air_col_5,Air_col_6
0,0,3897,170,22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,2,7662,445,05,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2,2,13882,1140,09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,6218,325,18,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
4,1,13302,285,16,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
5,0,3873,145,09,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1,11087,930,18,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7,1,22270,1265,08,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,1,11087,1530,08,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9,1,8625,470,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,1,8907,795,09,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
11,0,4174,155,20,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
12,0,4667,135,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,1,9663,730,21,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14,0,4804,155,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
15,2,14011,1595,16,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16,1,5830,270,08,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
17,1,10262,1355,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,2,13381,1380,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,1,12898,1235,16,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,1,19495,310,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,6955,920,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22,0,3943,170,04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0,4823,175,18,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
24,1,7757,800,18,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
25,2,13292,910,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,8238,345,21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27,1,7682,355,07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,0,4668,170,09,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29,0,3687,135,07,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
30,0,3687,135,07,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31,2,13227,805,09,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
32,0,4423,170,04,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
33,2,10919,1320,14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
34,1,12373,330,07,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
35,1,5894,625,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
36,1,4649,315,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
37,0,6245,150,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
38,1,19225,375,07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1,14924,715,07,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,1,9646,665,07,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
41,1,8714,510,06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42,1,12373,1325,20,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
43,0,3383,165,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
44,1,13062,720,09,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
45,0,3527,170,05,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
46,0,3943,170,04,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,0,4667,135,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
48,1,6117,965,19,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
49,2,11150,1195,23,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
50,0,7202,195,11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
51,1,12121,1520,09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,4377,170,22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
53,0,3943,180,21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
54,0,4483,170,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,14231,975,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,2,17345,905,08,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
57,0,7414,135,07,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,1,8073,390,19,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
59,1,12395,1505,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
60,1,8366,745,09,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
61,1,5117,1640,06,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,1,12524,615,08,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
63,1,7191,630,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
64,0,3687,135,07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
65,1,5894,625,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
66,0,5403,170,09,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
67,0,3625,90,13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
68,2,10861,800,05,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
69,0,6297,135,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
70,0,5678,85,07,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,1,9134,1590,05,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
72,1,10791,440,11,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
73,2,12819,810,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1,6893,300,05,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
75,0,7240,165,09,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
76,0,3898,170,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,4049,90,06,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
78,1,10262,1145,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
79,0,3332,135,08,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
80,1,10844,890,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
